1,16-18 anos,Homem,Diurno,1° Ciclo,Não,Às vezes,Raramente,Nunca,Frequentemente,Nunca,Muito pouco,Em uma pequena parte,Nunca,Raramente,Raramente,Nunca,Às vezes,Nunca,Muito pouco,Nunca,Muito pouco,Muito pouco,Nunca,Raramente,Raramente,Nunca,Raramente,Raramente,Um pouco,Um pouco,Um pouco,Às vezes,Às vezes,Às vezes,Às vezes,Nunca,Às vezes,Em grande parte,Em grande parte,Em uma pequena parte,Um pouco,Um pouco,Na maior parte,Na maior parte,Na maior parte,Um pouco,Um pouco,Muito pouco,Um pouco,Muito pouco,Em grande parte,Em grande parte,Em grande parte,Em grande parte,Às vezes,Às vezes,Frequentemente,Raramente,Nunca,Nunca,Eu não tenho colegas,Eu não tenho colegas,Eu não tenho colegas,Na maior parte,Na maior parte,Na maior parte,Nunca,Em grande parte,Às vezes,Às vezes,Às vezes,Um pouco,Em uma pequena parte,Muito pouco,Muito pouco,Um pouco,Um pouco,Na maior parte,Um pouco,Nem/Nem,Satisfeito,Nem/Nem,Nem/Nem,Nem/Nem,Às vezes,Em uma pequena parte,Em uma pequena parte,Muito pouco,Um pouco,Em uma pequena parte,Um pouco,Em uma pequena parte,Em grande parte,Em grande parte,Muito pouco,Em grande parte,Em grande parte,Em grande parte,Em grande parte,Em grande parte,Não,,Não,Não,,Não,,Não,,Não,,Não,,Não,,Nunca,Muito boa,8,Grande parte do tempo,Grande parte do tempo,Grande parte do tempo,Grande parte do tempo,Grande parte do tempo,Parte do tempo,Grande parte do tempo,Grande parte do tempo,Parte do tempo,Parte do tempo,Uma pequena parte do tempo,Parte do tempo,Parte do tempo,Parte do tempo,Parte do tempo,Grande parte do tempo,Grande parte do tempo,Grande parte do tempo,Sempre,Parte do tempo,Grande parte do tempo,Grande parte do tempo,Uma pequena parte do tempo,Encaixa muito bem,Encaixa um pouquinho,Encaixa um pouquinho,Encaixa um pouquinho,Encaixa um pouquinho,Não encaixa
2,16-18 anos,Mulher,Noturno,1° Ciclo,Não,Nunca,Raramente,Nunca,Frequentemente,Frequentemente,Em grande parte,Na maior parte,Às vezes,Nunca,Frequentemente,Frequentemente,Nunca,Nunca,Um pouco,Sempre,Muito pouco,Muito pouco,Nunca,Frequentemente,Sempre,Sempre,Sempre,Sempre,Na maior parte,Na maior parte,Na maior parte,Sempre,Raramente,Raramente,Sempre,Às vezes,Frequentemente,Na maior parte,Na maior parte,Um pouco,Em grande parte,Na maior parte,Na maior parte,Na maior parte,Na maior parte,Na maior parte,Na maior parte,Muito pouco,Em uma pequena parte,Muito pouco,Na maior parte,Na maior parte,Na maior parte,Na maior parte,Frequentemente,Sempre,Sempre,Frequentemente,Sempre,Frequentemente,Sempre,Sempre,Sempre,Na maior parte,Na maior parte,Na maior parte,Nunca,Na maior parte,Sempre,Sempre,Sempre,Um pouco,Em grande parte,Em grande parte,Um pouco,Em grande parte,Na maior parte,Na maior parte,Na maior parte,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Frequentemente,Muito pouco,Muito pouco,Muito pouco,Na maior parte,Um pouco,Muito pouco,Na maior parte,Na maior parte,Na maior parte,Muito pouco,Na maior parte,Na maior parte,Na maior parte,Em uma pequena parte,Na maior parte,Não,,Não,Não,,Não,,Não,,Não,,Não,,Não,,Nunca,Muito boa,8,Em nenhum momento,Em nenhum momento,Em nenhum momento,Em nenhum momento,Em nenhum momento,Em nenhum momento,Em nenhum momento,Uma pequena parte do tempo,Grande parte do tempo,Uma pequena parte do tempo,Grande parte do tempo,Em nenhum momento,Uma pequena parte do tempo,Em nenhum momento,Em nenhum momento,Em nenhum momento,Em nenhum momento,Em nenhum momento,Uma pequena parte do tempo,Em nenhum momento,Uma pequena parte do tempo,Em nenhum momento,Uma pequena parte do tempo,Encaixa perfeitamente,Encaixa um pouquinho,Encaixa um pouquinho,Encaixa perfeitamente,Encaixa perfeitamente,Encaixa perfeitamente
3,19-25 anos,Homem,Noturno,1° Ciclo,Não,Raramente,Raramente,Raramente,Frequentemente,Frequentemente,Em grande parte,Em grande parte,Frequentemente,Às vezes,Frequentemente,Às vezes,Raramente,Nunca,Um pouco,Sempre,Muito pouco,Muito pouco,Nunca,Sempre,Frequentemente,Frequentemente,Frequentemente,Às vezes,Na maior parte,Na maior parte,Na maior parte,Frequentemente,Raramente,Frequentemente,Sempre,Nunca,Frequentemente,Na maior parte,Na maior parte,Um pouco,Um pouco,Um pouco,Na maior parte,Na maior parte,Na maior parte,Na maior parte,Um pouco,Um pouco,Um pouco,Um pouco,Na maior parte,Em grande parte,Em grande parte,Em grande parte,Às vezes,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Sempre,Às vezes,Frequentemente,Na maior parte,Na maior parte,Na maior parte,Raramente,Na maior parte,Sempre,Sempre,Sempre,Muito pouco,Um pouco,Na maior parte,Na maior parte,Na maior parte,Na maior parte,Em grande parte,Em grande parte,Satisfeito,Satisfeito,Satisfeito,Satisfeito,Muito satisfeito,Às vezes,Um pouco,Um pouco,Um pouco,Um pouco,Em uma pequena parte,Em grande parte,Em grande parte,Na maior parte,Na maior parte,Em grande parte,Um pouco,Na maior parte,Na maior parte,Na maior parte,Um pouco,Não,,Não,Não,,Não,,Não,,Não,,Não,,Não,,Nunca,Excelente,10,Uma pequena parte do tempo,Uma pequena parte do tempo,Uma pequena parte do tempo,Uma pequena parte do tempo,Parte do tempo,Parte do tempo,Uma pequena parte do tempo,Parte do tempo,Parte do tempo,Uma pequena parte do tempo,Uma pequena parte do tempo,Em nenhum momento,Parte do tempo,Parte do tempo,Em nenhum momento,Uma pequena parte do tempo,Parte do tempo,Parte do tempo,Uma pequena parte do tempo,Uma pequena parte do tempo,Grande parte do tempo,Uma pequena parte do tempo,Uma pequena parte do tempo,Encaixa perfeitamente,Não encaixa,Encaixa um pouquinho,Encaixa muito bem,Encaixa muito bem,Encaixa muito bem
4,26-30 anos,Mulher,Noturno,1° Ciclo,Não,Raramente,Raramente,Raramente,Frequentemente,Às vezes,Em uma pequena parte,Um pouco,Às vezes,Frequentemente,Frequentemente,Às vezes,Às vezes,Raramente,Em grande parte,Raramente,Muito pouco,Muito pouco,Nunca,Frequentemente,Frequentemente,Raramente,Frequentemente,Às vezes,Em grande parte,Em grande parte,Em grande parte,Frequentemente,Às vezes,Às vezes,Às vezes,Frequentemente,Às vezes,Em grande parte,Em grande parte,Em grande parte,Na maior parte,Em grande parte,Na maior parte,Na maior parte,Em grande parte,Em grande parte,Em grande parte,Muito pouco,Muito pouco,Em uma pequena parte,Em grande parte,Em grande parte,Em grande parte,Em grande parte,Frequentemente,Frequentemente,Frequentemente,Às vezes,Às vezes,Frequentemente,Frequentemente,Às vezes,Às vezes,Em grande parte,Na maior parte,Em grande parte,Nunca,Na maior parte,Às vezes,Frequentemente,Às vezes,Na maior parte,Em uma pequena parte,Muito pouco,Muito pouco,Na maior parte,Em grande parte,Em grande parte,Em grande parte,Satisfeito,Satisfeito,Satisfeito,Satisfeito,Muito satisfeito,Às vezes,Em uma pequena parte,Muito pouco,Um pouco,Em uma pequena parte,Um pouco,Em uma pequena parte,Em grande parte,Em grande parte,Na maior parte,Muito pouco,Em grande parte,Na maior parte,Em grande parte,Na maior parte,Na maior parte,Não,,Não,Não,,Não,,Não,,Não,,Não,,Não,,Nunca,Muito boa,8,Uma pequena parte do tempo,Uma pequena parte do tempo,Uma pequena parte do tempo,Em nenhum momento,Uma pequena parte do tempo,Parte do tempo,Parte do tempo,Parte do tempo,Uma pequena parte do tempo,Uma pequena parte do tempo,Parte do tempo,Em nenhum momento,Parte do tempo,Em nenhum momento,Parte do tempo,Parte do tempo,Parte do tempo,Parte do tempo,Uma pequena parte do tempo,Parte do tempo,Grande parte do tempo,Uma pequena parte do tempo,Parte do tempo,Encaixa muito bem,Encaixa um pouquinho,Encaixa muito bem,Encaixa um pouquinho,Encaixa um pouquinho,Encaixa muito bem
5,19-25 anos,Homem,Noturno,1° Ciclo,Não,Às vezes,Sempre,Raramente,Nunca,Sempre,Na maior parte,Na maior parte,Frequentemente,Frequentemente,Frequentemente,Às vezes,Sempre,Às vezes,Um pouco,Raramente,Muito pouco,Na maior parte,Nunca,Sempre,Sempre,Raramente,Sempre,Sempre,Na maior parte,Na maior parte,Na maior parte,Frequentemente,Frequentemente,Raramente,Às vezes,Raramente,Sempre,Em grande parte,Na maior parte,Muito pouco,Em grande parte,Um pouco,Na maior parte,Na maior parte,Em grande parte,Um pouco,Em grande parte,Em uma pequena parte,Na maior parte,Em grande parte,Um pouco,Muito pouco,Um pouco,Em grande parte,Sempre,Sempre,Às vezes,Sempre,Sempre,Sempre,Frequentemente,Frequentemente,Sempre,Em grande parte,Em grande parte,Em grande parte,Raramente,Na maior parte,Nunca,Raramente,Raramente,Muito pouco,Muito pouco,Na maior parte,Muito pouco,Um pouco,Em grande parte,Em uma pequena parte,Muito pouco,Nem/Nem,Muito satisfeito,Satisfeito,Satisfeito,Muito satisfeito,Sempre,Na maior parte,Na maior parte,Na maior parte,Na maior parte,Em grande parte,Em grande parte,Na maior parte,Em grande parte,Na maior parte,Muito pouco,Um pouco,Em grande parte,Muito pouco,Em grande parte,Um pouco,Não,,Não,Não,,Não,,Não,,Não,,Não,,Não,,Nunca,Regular ,7,Grande parte do tempo,Grande parte do tempo,Uma pequena parte do tempo,Uma pequena parte do tempo,Sempre,Sempre,Sempre,Sempre,Sempre,Parte do tempo,Uma pequena parte do tempo,Uma pequena parte do tempo,Parte do tempo,Em nenhum momento,Uma pequena parte do tempo,Parte do tempo,Parte do tempo,Uma pequena parte do tempo,Sempre,Sempre,Em nenhum momento,Em nenhum momento,Grande parte do tempo,Encaixa perfeitamente,Encaixa perfeitamente,Encaixa perfeitamente,Encaixa perfeitamente,Encaixa perfeitamente,Encaixa perfeitamente
6,19-25 anos,Homem,Noturno,7° Ciclo,Não,Sempre,Sempre,Sempre,Nunca,Sempre,Na maior parte,Na maior parte,Sempre,Sempre,Sempre,Sempre,Frequentemente,Raramente,Muito pouco,Sempre,Muito pouco,Na maior parte,Sempre,Às vezes,Às vezes,Raramente,Às vezes,Raramente,Na maior parte,Em grande parte,Em grande parte,Frequentemente,Às vezes,Às vezes,Frequentemente,Às vezes,Às vezes,Em grande parte,Na maior parte,Muito pouco,Muito pouco,Na maior parte,Na maior parte,Em grande parte,Em grande parte,Um pouco,Um pouco,Um pouco,Um pouco,Um pouco,Um pouco,Um pouco,Em grande parte,Um pouco,Frequentemente,Frequentemente,Frequentemente,Eu não tenho colegas,Eu não tenho colegas,Eu não tenho colegas,Nunca,Nunca,Frequentemente,Em grande parte,Na maior parte,Um pouco,Raramente,Em grande parte,Às vezes,Raramente,Frequentemente,Em uma pequena parte,Em uma pequena parte,Muito pouco,Muito pouco,Muito pouco,Um pouco,Um pouco,Um pouco,Satisfeito,Muito satisfeito,Satisfeito,Satisfeito,Satisfeito,Às vezes,Em uma pequena parte,Em uma pequena parte,Em uma pequena parte,Um pouco,Na maior parte,Em grande parte,Em uma pequena parte,Em grande parte,Na maior parte,Muito pouco,Em uma pequena parte,Em grande parte,Em grande parte,Em grande parte,Um pouco,"Sim, algumas vezes",Colegas;," Sim, algumas vezes","Sim, mensalmente",Colegas;,Não,,Não,,Não,,Não,,Não,,Às vezes,Muito boa,7,Grande parte do tempo,Parte do tempo,Parte do tempo,Parte do tempo,Grande parte do tempo,Grande parte do tempo,Grande parte do tempo,Grande parte do tempo,Grande parte do tempo,Parte do tempo,Grande parte do tempo,Em nenhum momento,Em nenhum momento,Em nenhum momento,Em nenhum momento,Parte do tempo,Parte do tempo,Parte do tempo,Uma pequena parte do tempo,Uma pequena parte do tempo,Uma pequena parte do tempo,Uma pequena parte do tempo,Uma pequena parte do tempo,Encaixa muito bem,Encaixa muito bem,Encaixa muito bem,Encaixa muito bem,Encaixa muito bem,Encaixa muito bem
7,19-25 anos,Homem,Noturno,6° Ciclo,Não,Sempre,Frequentemente,Nunca,Raramente,Frequentemente,Em grande parte,Em grande parte,Sempre,Frequentemente,Frequentemente,Frequentemente,Às vezes,Às vezes,Um pouco,Nunca,Na maior parte,Muito pouco,Nunca,Raramente,Frequentemente,Nunca,Às vezes,Raramente,Na maior parte,Na maior parte,Em grande parte,Frequentemente,Às vezes,Às vezes,Sempre,Raramente,Nunca,Na maior parte,Na maior parte,Em grande parte,Na maior parte,Em grande parte,Na maior parte,Em grande parte,Na maior parte,Na maior parte,Na maior parte,Um pouco,Em grande parte,Em grande parte,Na maior parte,Na maior parte,Na maior parte,Na maior parte,Raramente,Nunca,Raramente,Nunca,Raramente,Às vezes,Às vezes,Às vezes,Frequentemente,Um pouco,Na maior parte,Na maior parte,Nunca,Na maior parte,Às vezes,Frequentemente,Sempre,Muito pouco,Muito pouco,Um pouco,Um pouco,Em grande parte,Na maior parte,Em grande parte,Em grande parte,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Frequentemente,Em grande parte,Em grande parte,Na maior parte,Na maior parte,Um pouco,Muito pouco,Em grande parte,Em grande parte,Na maior parte,Muito pouco,Um pouco,Na maior parte,Em grande parte,Um pouco,Um pouco,Não,,Não,Não,,Não,,Não,,Não,,Não,,Não,,Raramente,Muito boa,8,Grande parte do tempo,Parte do tempo,Grande parte do tempo,Grande parte do tempo,Sempre,Sempre,Sempre,Sempre,Sempre,Grande parte do tempo,Grande parte do tempo,Parte do tempo,Grande parte do tempo,Parte do tempo,Parte do tempo,Uma pequena parte do tempo,Uma pequena parte do tempo,Uma pequena parte do tempo,Parte do tempo,Parte do tempo,Grande parte do tempo,Uma pequena parte do tempo,Parte do tempo,Encaixa perfeitamente,Encaixa perfeitamente,Encaixa muito bem,Encaixa muito bem,Encaixa perfeitamente,Encaixa muito bem
8,19-25 anos,Homem,Noturno,6° Ciclo,Não,Às vezes,Às vezes,Às vezes,Às vezes,Às vezes,Um pouco,Um pouco,Às vezes,Às vezes,Às vezes,Às vezes,Às vezes,Às vezes,Muito pouco,Às vezes,Em uma pequena parte,Um pouco,Às vezes,Às vezes,Às vezes,Às vezes,Às vezes,Às vezes,Um pouco,Um pouco,Um pouco,Às vezes,Raramente,Às vezes,Às vezes,Às vezes,Às vezes,Em grande parte,Na maior parte,Um pouco,Um pouco,Um pouco,Em grande parte,Em grande parte,Na maior parte,Em grande parte,Em grande parte,Um pouco,Em uma pequena parte,Em uma pequena parte,Um pouco,Em grande parte,Em grande parte,Um pouco,Às vezes,Às vezes,Às vezes,Às vezes,Às vezes,Às vezes,Frequentemente,Frequentemente,Raramente,Em grande parte,Em grande parte,Em grande parte,Nunca,Em grande parte,Frequentemente,Frequentemente,Frequentemente,Muito pouco,Em uma pequena parte,Em uma pequena parte,Um pouco,Em grande parte,Um pouco,Um pouco,Um pouco,Satisfeito,Nem/Nem,Satisfeito,Satisfeito,Insatisfeito,Às vezes,Em uma pequena parte,Em uma pequena parte,Em uma pequena parte,Um pouco,Um pouco,Um pouco,Um pouco,Um pouco,Um pouco,Um pouco,Um pouco,Um pouco,Um pouco,Um pouco,Um pouco,"Sim, algumas vezes",Colegas;Professores;,Não,Não,,Não,,Não,,Não,,Não,,Não,,Raramente,Muito boa,9,Uma pequena parte do tempo,Uma pequena parte do tempo,Uma pequena parte do tempo,Uma pequena parte do tempo,Uma pequena parte do tempo,Uma pequena parte do tempo,Uma pequena parte do tempo,Uma pequena parte do tempo,Uma pequena parte do tempo,Uma pequena parte do tempo,Uma pequena parte do tempo,Uma pequena parte do tempo,Uma pequena parte do tempo,Em nenhum momento,Em nenhum momento,Uma pequena parte do tempo,Uma pequena parte do tempo,Uma pequena parte do tempo,Uma pequena parte do tempo,Uma pequena parte do tempo,Uma pequena parte do tempo,Uma pequena parte do tempo,Uma pequena parte do tempo,Encaixa muito bem,Encaixa um pouquinho,Encaixa muito bem,Não encaixa,Encaixa um pouquinho,Encaixa muito bem
9,19-25 anos,Homem,Noturno,6° Ciclo,Não,Às vezes,Raramente,Raramente,Às vezes,Às vezes,Em grande parte,Em grande parte,Às vezes,Às vezes,Frequentemente,Frequentemente,Raramente,Nunca,Em uma pequena parte,Nunca,Muito pouco,Muito pouco,Nunca,Frequentemente,Frequentemente,Às vezes,Às vezes,Às vezes,Em grande parte,Em grande parte,Em grande parte,Frequentemente,Frequentemente,Raramente,Sempre,Às vezes,Frequentemente,Na maior parte,Na maior parte,Em grande parte,Em grande parte,Em grande parte,Em grande parte,Em grande parte,Em grande parte,Em grande parte,Em grande parte,Em uma pequena parte,Em uma pequena parte,Em uma pequena parte,Em grande parte,Em grande parte,Em grande parte,Em grande parte,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Às vezes,Às vezes,Um pouco,Na maior parte,Em grande parte,Nunca,Em grande parte,Raramente,Às vezes,Às vezes,Em grande parte,Em grande parte,Um pouco,Na maior parte,Na maior parte,Na maior parte,Em grande parte,Em grande parte,Satisfeito,Satisfeito,Satisfeito,Satisfeito,Satisfeito,Frequentemente,Um pouco,Um pouco,Um pouco,Em grande parte,Em uma pequena parte,Em uma pequena parte,Em grande parte,Em grande parte,Em grande parte,Em uma pequena parte,Em grande parte,Em grande parte,Em grande parte,Em grande parte,Em grande parte,Não,,Não,Não,,Não,,Não,,Não,,Não,,Não,,Raramente,Muito boa,8,Parte do tempo,Em nenhum momento,Uma pequena parte do tempo,Uma pequena parte do tempo,Grande parte do tempo,Grande parte do tempo,Grande parte do tempo,Grande parte do tempo,Grande parte do tempo,Uma pequena parte do tempo,Parte do tempo,Em nenhum momento,Uma pequena parte do tempo,Em nenhum momento,Em nenhum momento,Parte do tempo,Parte do tempo,Parte do tempo,Parte do tempo,Uma pequena parte do tempo,Uma pequena parte do tempo,Em nenhum momento,Uma pequena parte do tempo,Encaixa perfeitamente,Encaixa muito bem,Encaixa um pouquinho,Encaixa um pouquinho,Encaixa um pouquinho,Encaixa muito bem
10,19-25 anos,Homem,Noturno,6° Ciclo,Não,Às vezes,Raramente,Raramente,Sempre,Raramente,Um pouco,Em uma pequena parte,Às vezes,Às vezes,Frequentemente,Às vezes,Raramente,Nunca,Muito pouco,Raramente,Muito pouco,Muito pouco,Nunca,Raramente,Raramente,Às vezes,Raramente,Às vezes,Na maior parte,Na maior parte,Na maior parte,Frequentemente,Às vezes,Às vezes,Às vezes,Raramente,Raramente,Na maior parte,Na maior parte,Em grande parte,Em grande parte,Em grande parte,Em grande parte,Na maior parte,Em grande parte,Em grande parte,Em grande parte,Em uma pequena parte,Em uma pequena parte,Em uma pequena parte,Na maior parte,Na maior parte,Na maior parte,Na maior parte,Sempre,Sempre,Frequentemente,Sempre,Sempre,Às vezes,Sempre,Sempre,Às vezes,Na maior parte,Na maior parte,Na maior parte,Raramente,Na maior parte,Frequentemente,Frequentemente,Frequentemente,Muito pouco,Muito pouco,Muito pouco,Em uma pequena parte,Muito pouco,Em grande parte,Na maior parte,Na maior parte,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Satisfeito,Nunca,Muito pouco,Muito pouco,Muito pouco,Em uma pequena parte,Em grande parte,Um pouco,Um pouco,Em grande parte,Na maior parte,Muito pouco,Na maior parte,Em grande parte,Em grande parte,Em grande parte,Em grande parte,Não,,Não,Não,,Não,,Não,,Não,,Não,,Não,,Nunca,Muito boa,9,Parte do tempo,Uma pequena parte do tempo,Em nenhum momento,Em nenhum momento,Parte do tempo,Parte do tempo,Em nenhum momento,Parte do tempo,Em nenhum momento,Em nenhum momento,Uma pequena parte do tempo,Uma pequena parte do tempo,Uma pequena parte do tempo,Em nenhum momento,Uma pequena parte do tempo,Uma pequena parte do tempo,Uma pequena parte do tempo,Uma pequena parte do tempo,Uma pequena parte do tempo,Em nenhum momento,Em nenhum momento,Em nenhum momento,Em nenhum momento,Encaixa perfeitamente,Encaixa um pouquinho,Encaixa perfeitamente,Encaixa perfeitamente,Encaixa muito bem,Encaixa perfeitamente
