ID: 1, Coordenada: (0.00, 1.00), Cluster: 2
ID: 2, Coordenada: (4.00, 1.00), Cluster: 2
ID: 3, Coordenada: (4.00, 1.00), Cluster: 2
ID: 4, Coordenada: (1.00, 1.00), Cluster: 2
ID: 5, Coordenada: (5.00, 1.00), Cluster: 2
ID: 6, Coordenada: (12.00, 7.00), Cluster: 1
ID: 7, Coordenada: (4.00, 6.00), Cluster: 0
ID: 8, Coordenada: (7.00, 6.00), Cluster: 1
ID: 9, Coordenada: (0.00, 6.00), Cluster: 0
ID: 10, Coordenada: (1.00, 6.00), Cluster: 0
ID: 11, Coordenada: (9.00, 6.00), Cluster: 1
ID: 12, Coordenada: (11.00, 6.00), Cluster: 1
ID: 13, Coordenada: (6.00, 7.00), Cluster: 0
ID: 14, Coordenada: (4.00, 7.00), Cluster: 0
ID: 15, Coordenada: (5.00, 6.00), Cluster: 0
ID: 16, Coordenada: (0.00, 7.00), Cluster: 0
ID: 17, Coordenada: (3.00, 6.00), Cluster: 0
ID: 18, Coordenada: (3.00, 7.00), Cluster: 0
ID: 19, Coordenada: (0.00, 7.00), Cluster: 0
ID: 20, Coordenada: (3.00, 7.00), Cluster: 0
ID: 21, Coordenada: (3.00, 7.00), Cluster: 0
ID: 22, Coordenada: (12.00, 6.00), Cluster: 1
ID: 23, Coordenada: (11.00, 7.00), Cluster: 1
ID: 24, Coordenada: (8.00, 6.00), Cluster: 1
ID: 25, Coordenada: (3.00, 7.00), Cluster: 0
ID: 26, Coordenada: (3.00, 1.00), Cluster: 2
ID: 27, Coordenada: (4.00, 1.00), Cluster: 2
ID: 28, Coordenada: (0.00, 3.00), Cluster: 2
ID: 29, Coordenada: (8.00, 3.00), Cluster: 2
ID: 30, Coordenada: (7.00, 3.00), Cluster: 2
ID: 31, Coordenada: (11.00, 3.00), Cluster: 1
ID: 32, Coordenada: (4.00, 3.00), Cluster: 2
ID: 33, Coordenada: (12.00, 3.00), Cluster: 1
ID: 34, Coordenada: (2.00, 3.00), Cluster: 2
ID: 35, Coordenada: (14.00, 3.00), Cluster: 1
ID: 36, Coordenada: (0.00, 3.00), Cluster: 2
ID: 37, Coordenada: (1.00, 5.00), Cluster: 0
ID: 38, Coordenada: (7.00, 5.00), Cluster: 1
ID: 39, Coordenada: (7.00, 5.00), Cluster: 1
ID: 40, Coordenada: (2.00, 5.00), Cluster: 0
ID: 41, Coordenada: (4.00, 5.00), Cluster: 0
ID: 42, Coordenada: (2.00, 5.00), Cluster: 0
ID: 43, Coordenada: (8.00, 5.00), Cluster: 1
ID: 44, Coordenada: (6.00, 5.00), Cluster: 1
ID: 45, Coordenada: (13.00, 5.00), Cluster: 1
ID: 46, Coordenada: (2.00, 5.00), Cluster: 0
ID: 47, Coordenada: (11.00, 5.00), Cluster: 1
ID: 48, Coordenada: (0.00, 5.00), Cluster: 0
ID: 49, Coordenada: (1.00, 5.00), Cluster: 0
ID: 50, Coordenada: (0.00, 5.00), Cluster: 0
ID: 51, Coordenada: (12.00, 5.00), Cluster: 1
ID: 52, Coordenada: (0.00, 5.00), Cluster: 0
ID: 53, Coordenada: (16.00, 3.00), Cluster: 1
ID: 54, Coordenada: (0.00, 3.00), Cluster: 2
ID: 55, Coordenada: (4.00, 3.00), Cluster: 2
ID: 56, Coordenada: (5.00, 3.00), Cluster: 2
ID: 57, Coordenada: (10.00, 5.00), Cluster: 1
ID: 58, Coordenada: (5.00, 3.00), Cluster: 2
ID: 59, Coordenada: (4.00, 5.00), Cluster: 0
ID: 60, Coordenada: (2.00, 3.00), Cluster: 2
ID: 61, Coordenada: (6.00, 3.00), Cluster: 2
ID: 62, Coordenada: (5.00, 3.00), Cluster: 2
ID: 63, Coordenada: (8.00, 3.00), Cluster: 2
ID: 64, Coordenada: (8.00, 3.00), Cluster: 2
ID: 65, Coordenada: (3.00, 3.00), Cluster: 2
ID: 66, Coordenada: (0.00, 3.00), Cluster: 2
ID: 67, Coordenada: (3.00, 3.00), Cluster: 2
ID: 68, Coordenada: (0.00, 5.00), Cluster: 0
ID: 69, Coordenada: (3.00, 5.00), Cluster: 0
ID: 70, Coordenada: (3.00, 5.00), Cluster: 0
ID: 71, Coordenada: (6.00, 5.00), Cluster: 1
ID: 72, Coordenada: (11.00, 5.00), Cluster: 1
ID: 73, Coordenada: (0.00, 5.00), Cluster: 0
ID: 74, Coordenada: (3.00, 4.00), Cluster: 2
ID: 75, Coordenada: (4.00, 4.00), Cluster: 2
ID: 76, Coordenada: (1.00, 5.00), Cluster: 0
ID: 77, Coordenada: (2.00, 4.00), Cluster: 2
ID: 78, Coordenada: (0.00, 4.00), Cluster: 2
ID: 79, Coordenada: (3.00, 8.00), Cluster: 0
ID: 80, Coordenada: (0.00, 8.00), Cluster: 0
ID: 81, Coordenada: (3.00, 8.00), Cluster: 0
ID: 82, Coordenada: (5.00, 8.00), Cluster: 0
ID: 83, Coordenada: (8.00, 8.00), Cluster: 1
ID: 84, Coordenada: (10.00, 8.00), Cluster: 1
ID: 85, Coordenada: (5.00, 4.00), Cluster: 2
