Inercia final: 654.04, Pior inercia: 859.72, Silhueta: 0.43 
ID: 1, Coordenada: (9.00, 1.00), Cluster: 0
ID: 2, Coordenada: (2.00, 1.00), Cluster: 0
ID: 3, Coordenada: (6.00, 1.00), Cluster: 0
ID: 4, Coordenada: (8.00, 1.00), Cluster: 0
ID: 5, Coordenada: (7.00, 1.00), Cluster: 0
ID: 6, Coordenada: (4.00, 7.00), Cluster: 2
ID: 7, Coordenada: (8.00, 6.00), Cluster: 2
ID: 8, Coordenada: (4.00, 6.00), Cluster: 2
ID: 9, Coordenada: (3.00, 6.00), Cluster: 2
ID: 10, Coordenada: (0.00, 6.00), Cluster: 2
ID: 11, Coordenada: (2.00, 6.00), Cluster: 2
ID: 12, Coordenada: (16.00, 6.00), Cluster: 1
ID: 13, Coordenada: (6.00, 7.00), Cluster: 2
ID: 14, Coordenada: (3.00, 7.00), Cluster: 2
ID: 15, Coordenada: (5.00, 6.00), Cluster: 2
ID: 16, Coordenada: (6.00, 7.00), Cluster: 2
ID: 17, Coordenada: (4.00, 6.00), Cluster: 2
ID: 18, Coordenada: (5.00, 7.00), Cluster: 2
ID: 19, Coordenada: (11.00, 7.00), Cluster: 1
ID: 20, Coordenada: (13.00, 7.00), Cluster: 1
ID: 21, Coordenada: (10.00, 7.00), Cluster: 2
ID: 22, Coordenada: (6.00, 6.00), Cluster: 2
ID: 23, Coordenada: (5.00, 7.00), Cluster: 2
ID: 24, Coordenada: (10.00, 6.00), Cluster: 1
ID: 25, Coordenada: (11.00, 7.00), Cluster: 1
ID: 26, Coordenada: (6.00, 1.00), Cluster: 0
ID: 27, Coordenada: (11.00, 1.00), Cluster: 0
ID: 28, Coordenada: (15.00, 3.00), Cluster: 1
ID: 29, Coordenada: (5.00, 3.00), Cluster: 0
ID: 30, Coordenada: (1.00, 3.00), Cluster: 0
ID: 31, Coordenada: (10.00, 3.00), Cluster: 0
ID: 32, Coordenada: (5.00, 3.00), Cluster: 0
ID: 33, Coordenada: (9.00, 3.00), Cluster: 0
ID: 34, Coordenada: (14.00, 3.00), Cluster: 1
ID: 35, Coordenada: (16.00, 3.00), Cluster: 1
ID: 36, Coordenada: (11.00, 3.00), Cluster: 0
ID: 37, Coordenada: (9.00, 5.00), Cluster: 1
ID: 38, Coordenada: (6.00, 5.00), Cluster: 2
ID: 39, Coordenada: (13.00, 5.00), Cluster: 1
ID: 40, Coordenada: (8.00, 5.00), Cluster: 2
ID: 41, Coordenada: (12.00, 5.00), Cluster: 1
ID: 42, Coordenada: (5.00, 5.00), Cluster: 2
ID: 43, Coordenada: (7.00, 5.00), Cluster: 2
ID: 44, Coordenada: (11.00, 5.00), Cluster: 1
ID: 45, Coordenada: (11.00, 5.00), Cluster: 1
ID: 46, Coordenada: (8.00, 5.00), Cluster: 2
ID: 47, Coordenada: (16.00, 5.00), Cluster: 1
ID: 48, Coordenada: (4.00, 5.00), Cluster: 2
ID: 49, Coordenada: (13.00, 5.00), Cluster: 1
ID: 50, Coordenada: (8.00, 5.00), Cluster: 2
ID: 51, Coordenada: (8.00, 5.00), Cluster: 2
ID: 52, Coordenada: (14.00, 5.00), Cluster: 1
ID: 53, Coordenada: (16.00, 3.00), Cluster: 1
ID: 54, Coordenada: (10.00, 3.00), Cluster: 0
ID: 55, Coordenada: (7.00, 3.00), Cluster: 0
ID: 56, Coordenada: (4.00, 3.00), Cluster: 0
ID: 57, Coordenada: (3.00, 5.00), Cluster: 2
ID: 58, Coordenada: (3.00, 3.00), Cluster: 0
ID: 59, Coordenada: (5.00, 5.00), Cluster: 2
ID: 60, Coordenada: (6.00, 3.00), Cluster: 0
ID: 61, Coordenada: (7.00, 3.00), Cluster: 0
ID: 62, Coordenada: (10.00, 3.00), Cluster: 0
ID: 63, Coordenada: (4.00, 3.00), Cluster: 0
ID: 64, Coordenada: (7.00, 3.00), Cluster: 0
ID: 65, Coordenada: (15.00, 3.00), Cluster: 1
ID: 66, Coordenada: (8.00, 3.00), Cluster: 0
ID: 67, Coordenada: (13.00, 3.00), Cluster: 1
ID: 68, Coordenada: (2.00, 5.00), Cluster: 2
ID: 69, Coordenada: (16.00, 5.00), Cluster: 1
ID: 70, Coordenada: (9.00, 5.00), Cluster: 1
ID: 71, Coordenada: (8.00, 5.00), Cluster: 2
ID: 72, Coordenada: (15.00, 5.00), Cluster: 1
ID: 73, Coordenada: (13.00, 5.00), Cluster: 1
ID: 74, Coordenada: (12.00, 4.00), Cluster: 1
ID: 75, Coordenada: (5.00, 4.00), Cluster: 0
ID: 76, Coordenada: (4.00, 5.00), Cluster: 2
ID: 77, Coordenada: (10.00, 4.00), Cluster: 1
ID: 78, Coordenada: (8.00, 4.00), Cluster: 0
ID: 79, Coordenada: (0.00, 8.00), Cluster: 2
ID: 80, Coordenada: (4.00, 8.00), Cluster: 2
ID: 81, Coordenada: (14.00, 8.00), Cluster: 1
ID: 82, Coordenada: (7.00, 8.00), Cluster: 2
ID: 83, Coordenada: (7.00, 8.00), Cluster: 2
ID: 84, Coordenada: (6.00, 8.00), Cluster: 2
ID: 85, Coordenada: (8.00, 4.00), Cluster: 0
