Inercia final: 596.65, Pior inercia: 1062.94, Silhueta: 0.45 
ID: 1, Coordenada: (1.00, 1.00), Cluster: 0
ID: 2, Coordenada: (0.00, 1.00), Cluster: 0
ID: 3, Coordenada: (0.00, 1.00), Cluster: 0
ID: 4, Coordenada: (1.00, 1.00), Cluster: 0
ID: 5, Coordenada: (2.00, 1.00), Cluster: 0
ID: 6, Coordenada: (2.00, 7.00), Cluster: 2
ID: 7, Coordenada: (0.00, 6.00), Cluster: 2
ID: 8, Coordenada: (2.00, 6.00), Cluster: 2
ID: 9, Coordenada: (1.00, 6.00), Cluster: 2
ID: 10, Coordenada: (0.00, 6.00), Cluster: 2
ID: 11, Coordenada: (1.00, 6.00), Cluster: 2
ID: 12, Coordenada: (1.00, 6.00), Cluster: 2
ID: 13, Coordenada: (1.00, 7.00), Cluster: 2
ID: 14, Coordenada: (0.00, 7.00), Cluster: 2
ID: 15, Coordenada: (1.00, 6.00), Cluster: 2
ID: 16, Coordenada: (1.00, 7.00), Cluster: 2
ID: 17, Coordenada: (1.00, 6.00), Cluster: 2
ID: 18, Coordenada: (1.00, 7.00), Cluster: 2
ID: 19, Coordenada: (1.00, 7.00), Cluster: 2
ID: 20, Coordenada: (1.00, 7.00), Cluster: 2
ID: 21, Coordenada: (1.00, 7.00), Cluster: 2
ID: 22, Coordenada: (3.00, 6.00), Cluster: 1
ID: 23, Coordenada: (1.00, 7.00), Cluster: 2
ID: 24, Coordenada: (1.00, 6.00), Cluster: 2
ID: 25, Coordenada: (0.00, 7.00), Cluster: 2
ID: 26, Coordenada: (1.00, 1.00), Cluster: 0
ID: 27, Coordenada: (1.00, 1.00), Cluster: 0
ID: 28, Coordenada: (2.00, 3.00), Cluster: 0
ID: 29, Coordenada: (1.00, 3.00), Cluster: 0
ID: 30, Coordenada: (1.00, 3.00), Cluster: 0
ID: 31, Coordenada: (1.00, 3.00), Cluster: 0
ID: 32, Coordenada: (0.00, 3.00), Cluster: 0
ID: 33, Coordenada: (0.00, 3.00), Cluster: 0
ID: 34, Coordenada: (0.00, 3.00), Cluster: 0
ID: 35, Coordenada: (1.00, 3.00), Cluster: 0
ID: 36, Coordenada: (0.00, 3.00), Cluster: 0
ID: 37, Coordenada: (1.00, 5.00), Cluster: 2
ID: 38, Coordenada: (2.00, 5.00), Cluster: 2
ID: 39, Coordenada: (2.00, 5.00), Cluster: 2
ID: 40, Coordenada: (4.00, 5.00), Cluster: 1
ID: 41, Coordenada: (1.00, 5.00), Cluster: 2
ID: 42, Coordenada: (1.00, 5.00), Cluster: 2
ID: 43, Coordenada: (1.00, 5.00), Cluster: 2
ID: 44, Coordenada: (1.00, 5.00), Cluster: 2
ID: 45, Coordenada: (2.00, 5.00), Cluster: 2
ID: 46, Coordenada: (1.00, 5.00), Cluster: 2
ID: 47, Coordenada: (0.00, 5.00), Cluster: 2
ID: 48, Coordenada: (1.00, 5.00), Cluster: 2
ID: 49, Coordenada: (2.00, 5.00), Cluster: 2
ID: 50, Coordenada: (1.00, 5.00), Cluster: 2
ID: 51, Coordenada: (1.00, 5.00), Cluster: 2
ID: 52, Coordenada: (1.00, 5.00), Cluster: 2
ID: 53, Coordenada: (0.00, 3.00), Cluster: 0
ID: 54, Coordenada: (2.00, 3.00), Cluster: 0
ID: 55, Coordenada: (0.00, 3.00), Cluster: 0
ID: 56, Coordenada: (1.00, 3.00), Cluster: 0
ID: 57, Coordenada: (4.00, 5.00), Cluster: 1
ID: 58, Coordenada: (4.00, 3.00), Cluster: 1
ID: 59, Coordenada: (2.00, 5.00), Cluster: 2
ID: 60, Coordenada: (0.00, 3.00), Cluster: 0
ID: 61, Coordenada: (1.00, 3.00), Cluster: 0
ID: 62, Coordenada: (4.00, 3.00), Cluster: 1
ID: 63, Coordenada: (0.00, 3.00), Cluster: 0
ID: 64, Coordenada: (1.00, 3.00), Cluster: 0
ID: 65, Coordenada: (2.00, 3.00), Cluster: 0
ID: 66, Coordenada: (2.00, 3.00), Cluster: 0
ID: 67, Coordenada: (0.00, 3.00), Cluster: 0
ID: 68, Coordenada: (1.00, 5.00), Cluster: 2
ID: 69, Coordenada: (2.00, 5.00), Cluster: 2
ID: 70, Coordenada: (2.00, 5.00), Cluster: 2
ID: 71, Coordenada: (4.00, 5.00), Cluster: 1
ID: 72, Coordenada: (3.00, 5.00), Cluster: 1
ID: 73, Coordenada: (4.00, 5.00), Cluster: 1
ID: 74, Coordenada: (1.00, 4.00), Cluster: 0
ID: 75, Coordenada: (4.00, 4.00), Cluster: 1
ID: 76, Coordenada: (2.00, 5.00), Cluster: 2
ID: 77, Coordenada: (1.00, 4.00), Cluster: 0
ID: 78, Coordenada: (1.00, 4.00), Cluster: 0
ID: 79, Coordenada: (2.00, 8.00), Cluster: 2
ID: 80, Coordenada: (1.00, 8.00), Cluster: 2
ID: 81, Coordenada: (2.00, 8.00), Cluster: 2
ID: 82, Coordenada: (1.00, 8.00), Cluster: 2
ID: 83, Coordenada: (1.00, 8.00), Cluster: 2
ID: 84, Coordenada: (1.00, 8.00), Cluster: 2
ID: 85, Coordenada: (1.00, 4.00), Cluster: 0
